Aari                          - aiw
Abadi                         - kbt
Abanyom                       - abm
Abar                          - mij
Abau                          - aau
Abaza                         - abq
Abkhazian                     - ab
Abkhazian                     - abk
Abui                          - abz
Abun                          - kgr
Abé                           - aba
Achi                          - acr
Achinese                      - ace
Achuar-Shiwiar                - acu
Achumawi                      - acv
Acoli                         - ach
Adangme                       - ada
Adele                         - ade
Adi                           - adi
Adioukrou                     - adj
Adiwasi Garasia               - gas
Adnyamathanha                 - adt
Adyghe                        - ady
Adzera                        - adz
Afar                          - aa
Afar                          - aar
Afrikaans                     - af
Afrikaans                     - afr
Agariya                       - agi
Aghul                         - agx
Agob                          - kit
Aguacateco                    - agu
Aguano                        - aga
Aguaruna                      - agr
Ahtena                        - aht
Ahwai                         - nfd
Ainu                          - aib
Ainu                          - ain
Airoran                       - air
Ajië                          - aji
Aka-Bo                        - akm
Akan                          - ak
Akan                          - aka
Akawaio                       - ake
Ake                           - aik
Akha                          - ahk
Akhvakh                       - akv
Akkadian                      - akk
Akkala Sami                   - sia
Aklanon                       - akl
Akolet                        - akt
Akpes                         - ibe
Alabama                       - akz
Alabat Island Agta            - dul
Alamblak                      - amp
Albanian                      - sq
Albanian                      - sqi
Alcozauca Mixtec              - xta
Alekano                       - gah
Aleut                         - ale
Algerian Arabic               - arq
Algonquin                     - alq
Alumu-Tesu                    - aab
Alune                         - alp
Alutor                        - alr
Alyawarr                      - aly
Ama                           - amm
Amahai                        - amq
Amahuaca                      - amc
Amaimon                       - ali
Amanab                        - amn
Amanayé                       - ama
Amara                         - aie
Amarakaeri                    - amr
Amatlán Zapotec               - zpo
Ambai                         - amk
Ambonese Malay                - abs
Ambulas                       - abt
Amdang                        - amj
Amharic                       - am
Amharic                       - amh
Amis                          - ami
Ana Tinga Dogon               - dti
Anakalangu                    - akg
Ancient Egyptian              - egy
Ancient Greek                 - grc
Ancient Hebrew                - hbo
Ancient Macedonian            - xmk
Andalusian Arabic             - xaa
Andaqui                       - ana
Andi                          - ani
Andoque                       - ano
Aneityum                      - aty
Angami Naga                   - njm
Anglo-Norman                  - xno
Angloromani                   - rme
Angor                         - agg
Ankave                        - aak
Anong                         - nun
Ansus                         - and
Anuta                         - aud
Ao Naga                       - njo
Apalaí                        - apy
Apali                         - ena
Apatani                       - apt
Apma                          - app
Apurinã                       - apu
Aquitanian                    - xaq
Arabela                       - arl
Arabic                        - ar
Arabic                        - ara
Aragonese                     - an
Aragonese                     - arg
Araki                         - akr
Aramaic                       - arc
Araona                        - aro
Arapaho                       - arp
Araucanian                    - arn
Arawak                        - arw
Arbore                        - arv
Arbëreshë Albanian            - aae
Archi                         - aqc
Are'are                       - alu
Argobba                       - agj
Arguni                        - agf
Arikara                       - ari
Arin                          - xrn
Armenian                      - hy
Armenian                      - hye
Aromanian                     - rup
Arosi                         - aia
Arpitan                       - frp
Arvanitika Albanian           - aat
Ashe                          - ahs
Ashkun                        - ask
Asháninka                     - cni
Assamese                      - as
Assamese                      - asm
Assan                         - xss
Assiniboine                   - asb
Assyrian Neo-Aramaic          - aii
Asturian                      - ast
Asu                           - asa
Asumboa                       - aua
Atakapa                       - aqp
Atayal                        - tay
Athpariya                     - aph
Atikamekw                     - atj
Attié                         - ati
Auhelawa                      - kud
Avaric                        - av
Avaric                        - ava
Avestan                       - ae
Avestan                       - ave
Avokaya                       - avu
Awa                           - awb
Awa-Cuaiquer                  - kwi
Awabakal                      - awk
Awadhi                        - awa
Aweer                         - bob
Awetí                         - awe
Awiyaana                      - auy
Awjilah                       - auj
Awngi                         - awn
Ayere                         - aye
Ayiwo                         - nfl
Aymara                        - ay
Aymara                        - aym
Ayu                           - ayu
Azerbaijani                   - az
Azerbaijani                   - aze
Baan                          - bvj
Babatana                      - baa
Babine                        - bcr
Babuza                        - bzg
Bactrian                      - xbc
Badaga                        - bfq
Bafanji                       - bfj
Bafut                         - bfd
Bagirmi                       - bmi
Bagvalal                      - kva
Baharna Arabic                - abv
Bahnar                        - bdq
Bai                           - bdj
Bainouk-Gunyaamolo            - bcz
Bakhtiari                     - bqi
Balanta-Kentohe               - ble
Bali                          - bcn
Balinese                      - ban
Balti                         - bft
Baluan-Pam                    - blq
Baluchi                       - bal
Bambara                       - bam
Bambara                       - bm
Bambassi                      - myf
Bamwe                         - bmg
Banda                         - bnd
Banda-Bambari                 - liy
Bandi                         - bza
Bandjalang                    - bdy
Bangala                       - bxg
Bangi                         - bni
Bangi Me                      - dba
Baniwa                        - bwi
Banjar                        - bjn
Bankagooma                    - bxw
Bannoni                       - bcm
Bantik                        - bnq
Baoulé                        - bci
Barasana-Eduria               - bsn
Barbareño                     - boi
Barein                        - bva
Bariai                        - bch
